Concentration,Compound,Dilution,Captured,N,Actual mol/L
0.5,NaCl,1,3,20,0.5
1.25,NaCl,1,20,20,1.25
0.5,Na2CO3,1,20,20,0.5
0.5,Na2CO3,1,20,20,0.5
0.5,Na2SO4,1,20,20,0.5
0.5,Na2SO3,1,0,20,0.5
1,Mono Water,1,19,20,1
1,DiWater,1,4,20,1
0.5,NaOH,1,13,20,0.5
0.5,NaOH Na2SO4,1,20,20,0.5
0.5,K3PO4,1,20,20,0.5
0.5,Na2SiO3,1,20,20,0.5
0.5,K2CO3,1,6,20,0.5
,,,,,
0.5,NaCl,2,2,20,0.25
1.25,NaCl,2,1,20,0.625
0.5,Na2CO3,2,17,20,0.25
0.5,Na2CO3,2,15,20,0.25
0.5,Na2SO4,2,0,20,0.25
0.5,Na2SO3,2,0,20,0.25
1,Mono Water,2,20,20,0.5
1,DiWater,2,1,20,0.5
0.5,NaOH,2,5,20,0.25
0.5,NaOH Na2SO4,2,20,20,0.25
0.5,K3PO4,2,7,20,0.25
0.5,Na2SiO3,2,0,20,0.5
0.5,K2CO3,2,2,20,0.5
,,,,,
0.5,NaCl,4,3,20,0.125
1.25,NaCl,4,,20,0.3125
0.5,Na2CO3,4,20,20,0.125
0.5,Na2CO3,4,3,20,0.125
0.5,Na2CO3,4,20,20,0.125
0.5,Na2SO4,4,0,20,0.125
0.5,Na2SO3,4,0,20,0.125
1,Mono Water,4,9,20,0.25
1,DiWater,4,,20,0.25
0.5,NaOH,4,0,20,0.125
0.5,NaOH Na2SO4,4,7,20,0.125
0.5,K3PO4,4,3,20,0.125
0.5,Na2SiO3,4,1,20,0.5
0.5,K2CO3,4,3,20,0.5
,,,,,
0.5,NaCl,8,0,20,0.0625
1.25,NaCl,8,,20,0.15625
0.5,Na2CO3,8,14,20,0.0625
0.5,Na2CO3,8,6,20,0.0625
0.5,Na2SO4,8,1,20,0.0625
0.5,Na2SO3,8,1,20,0.0625
1,Mono Water,8,0,20,0.125
1,DiWater,8,,20,0.125
0.5,NaOH,8,3,20,0.0625
0.5,NaOH Na2SO4,8,1,20,0.0625
0.5,K3PO4,8,3,20,0.0625
0.5,Na2SiO3,8,2,10,0.5
0.5,K2CO3,8,1,20,0.5
,,,,,
0.5,NaCl,16,2,20,0.03125
1.25,NaCl,16,,20,0.078125
0.5,Na2CO3,16,0,20,0.03125
0.5,Na2CO3,16,3,20,0.03125
0.5,Na2SO4,16,1,20,0.03125
0.5,Na2SO3,16,0,20,0.03125
1,Mono Water,16,2,20,0.0625
1,DiWater,16,,20,0.0625
0.5,NaOH,16,1,20,0.03125
0.5,NaOH Na2SO4,16,2,20,0.03125
0.5,K3PO4,16,1,20,0.03125
0.5,Na2SiO3,16,1,10,0.5
0.5,K2CO3,16,1,20,0.5
,,,,,
0.5,NaCl,32,,20,0.015625
1.25,NaCl,32,,20,0.0390625
0.5,Na2CO3,32,,20,0.015625
0.5,Na2SO4,32,,20,0.015625
0.5,Na2SO3,32,,20,0.015625
1,Mono Water,32,1,20,0.03125
1,DiWater,32,,20,0.03125
0.5,NaOH,32,,20,0.015625
0.5,NaOH Na2SO4,32,,20,0.015625
